Region,State,Date,EVs
Landkreis Waldshut,Baden-Württemberg,2017-04-01,46
Landkreis Zollernalbkreis,Baden-Württemberg,2017-04-01,0
Stadtkreis Baden-Baden,Baden-Württemberg,2017-04-01,6
Stadtkreis Freiburg im Breisgau,Baden-Württemberg,2017-04-01,29
Stadtkreis Heidelberg,Baden-Württemberg,2017-04-01,16
Stadtkreis Heilbronn,Baden-Württemberg,2017-04-01,7
Stadtkreis Karlsruhe,Baden-Württemberg,2017-04-01,2
Stadtkreis Mannheim,Baden-Württemberg,2017-04-01,7
Stadtkreis Pforzheim,Baden-Württemberg,2017-04-01,0
Stadtkreis Stuttgart,Baden-Württemberg,2017-04-01,23
Stadtkreis Ulm,Baden-Württemberg,2017-04-01,84
Kreisfreie Stadt Amberg,Bayern,2017-04-01,0
Kreisfreie Stadt Ansbach,Bayern,2017-04-01,4
Kreisfreie Stadt Aschaffenburg,Bayern,2017-04-01,0
Kreisfreie Stadt Augsburg,Bayern,2017-04-01,30
Kreisfreie Stadt Bamberg,Bayern,2017-04-01,7
Kreisfreie Stadt Bayreuth,Bayern,2017-04-01,4
Kreisfreie Stadt Coburg,Bayern,2017-04-01,2
Kreisfreie Stadt Erlangen,Bayern,2017-04-01,9
Kreisfreie Stadt Fürth,Bayern,2017-04-01,14
Kreisfreie Stadt Hof,Bayern,2017-04-01,2
Kreisfreie Stadt Ingolstadt,Bayern,2017-04-01,40
Kreisfreie Stadt Kaufbeuren,Bayern,2017-04-01,10
Kreisfreie Stadt Kempten (Allgäu),Bayern,2017-04-01,2
Kreisfreie Stadt Landshut,Bayern,2017-04-01,13
Kreisfreie Stadt Memmingen,Bayern,2017-04-01,8
Kreisfreie Stadt München,Bayern,2017-04-01,57
Kreisfreie Stadt Nürnberg,Bayern,2017-04-01,26
Kreisfreie Stadt Passau,Bayern,2017-04-01,21
Kreisfreie Stadt Regensburg,Bayern,2017-04-01,52
Kreisfreie Stadt Rosenheim,Bayern,2017-04-01,0
Kreisfreie Stadt Schwabach,Bayern,2017-04-01,8
Kreisfreie Stadt Schweinfurt,Bayern,2017-04-01,15
Kreisfreie Stadt Straubing,Bayern,2017-04-01,18
Kreisfreie Stadt Weiden i.d. OPf.,Bayern,2017-04-01,4
Kreisfreie Stadt Würzburg,Bayern,2017-04-01,8
Landkreis Aichach-Friedberg,Bayern,2017-04-01,10
Landkreis Altötting,Bayern,2017-04-01,4
Landkreis Amberg-Sulzbach,Bayern,2017-04-01,2
Landkreis Ansbach,Bayern,2017-04-01,42
Landkreis Aschaffenburg,Bayern,2017-04-01,18
Landkreis Augsburg,Bayern,2017-04-01,47
Landkreis Bad Kissingen,Bayern,2017-04-01,12
Landkreis Bad Tölz-Wolfratshausen,Bayern,2017-04-01,15
Landkreis Bamberg,Bayern,2017-04-01,11
Landkreis Bayreuth,Bayern,2017-04-01,13
Landkreis Berchtesgadener Land,Bayern,2017-04-01,15
Landkreis Cham,Bayern,2017-04-01,39
Landkreis Coburg,Bayern,2017-04-01,4
Landkreis Dachau,Bayern,2017-04-01,2
Landkreis Deggendorf,Bayern,2017-04-01,78
Landkreis Dillingen a.d. Donau,Bayern,2017-04-01,4
Landkreis Dingolfing-Landau,Bayern,2017-04-01,4
Landkreis Donau-Ries,Bayern,2017-04-01,14
Landkreis Ebersberg,Bayern,2017-04-01,4
Landkreis Eichstätt,Bayern,2017-04-01,18
Landkreis Erding,Bayern,2017-04-01,1
Landkreis Erlangen-Höchstadt,Bayern,2017-04-01,16
Landkreis Forchheim,Bayern,2017-04-01,8
Landkreis Freising,Bayern,2017-04-01,4
Landkreis Freyung-Grafenau,Bayern,2017-04-01,76
Landkreis Fürstenfeldbruck,Bayern,2017-04-01,1
Landkreis Fürth,Bayern,2017-04-01,13
Landkreis Garmisch-Partenkirchen,Bayern,2017-04-01,7
Landkreis Günzburg,Bayern,2017-04-01,29
Landkreis Haßberge,Bayern,2017-04-01,6
Landkreis Hof,Bayern,2017-04-01,10
Landkreis Kelheim,Bayern,2017-04-01,0
Landkreis Kitzingen,Bayern,2017-04-01,19
Landkreis Kronach,Bayern,2017-04-01,0
Landkreis Kulmbach,Bayern,2017-04-01,22
Landkreis Landsberg am Lech,Bayern,2017-04-01,17
Landkreis Landshut,Bayern,2017-04-01,14
Landkreis Lichtenfels,Bayern,2017-04-01,0
Landkreis Lindau (Bodensee),Bayern,2017-04-01,10
Landkreis Main-Spessart,Bayern,2017-04-01,8
Landkreis Miesbach,Bayern,2017-04-01,6
Landkreis Miltenberg,Bayern,2017-04-01,0
Landkreis Mühldorf a. Inn,Bayern,2017-04-01,20
Landkreis München,Bayern,2017-04-01,22
Landkreis Neuburg-Schrobenhausen,Bayern,2017-04-01,1
Landkreis Neumarkt i.d. OPf.,Bayern,2017-04-01,44
Landkreis Neustadt a.d. Aisch-Bad Windsheim,Bayern,2017-04-01,18
Landkreis Neustadt a.d. Waldnaab,Bayern,2017-04-01,8
Landkreis Neu-Ulm,Bayern,2017-04-01,31
Landkreis Nürnberger Land,Bayern,2017-04-01,38
Landkreis Oberallgäu,Bayern,2017-04-01,2
Landkreis Ostallgäu,Bayern,2017-04-01,36
Landkreis Passau,Bayern,2017-04-01,92
Landkreis Pfaffenhofen a.d. Ilm,Bayern,2017-04-01,6
Landkreis Regen,Bayern,2017-04-01,122
Landkreis Regensburg,Bayern,2017-04-01,32
Landkreis Rhön-Grabfeld,Bayern,2017-04-01,18
Landkreis Rosenheim,Bayern,2017-04-01,26
Landkreis Roth,Bayern,2017-04-01,22
Landkreis Rottal-Inn,Bayern,2017-04-01,3
Landkreis Schwandorf,Bayern,2017-04-01,12
Landkreis Schweinfurt,Bayern,2017-04-01,13
Landkreis Starnberg,Bayern,2017-04-01,5
Landkreis Straubing-Bogen,Bayern,2017-04-01,80
Landkreis Tirschenreuth,Bayern,2017-04-01,0
Landkreis Traunstein,Bayern,2017-04-01,26
Landkreis Unterallgäu,Bayern,2017-04-01,12
Landkreis Weilheim-Schongau,Bayern,2017-04-01,12
Landkreis Weißenburg-Gunzenhausen,Bayern,2017-04-01,7
Landkreis Wunsiedel i. Fichtelgebirge,Bayern,2017-04-01,2
Landkreis Würzburg,Bayern,2017-04-01,27
Kreisfreie Stadt Berlin,Berlin,2017-04-01,556
Kreisfreie Stadt Brandenburg an der Havel,Brandenburg,2017-04-01,1
Kreisfreie Stadt Cottbus,Brandenburg,2017-04-01,0
Kreisfreie Stadt Frankfurt (Oder),Brandenburg,2017-04-01,0
Kreisfreie Stadt Potsdam,Brandenburg,2017-04-01,4
Landkreis Barnim,Brandenburg,2017-04-01,4
Landkreis Dahme-Spreewald,Brandenburg,2017-04-01,4
Landkreis Elbe-Elster,Brandenburg,2017-04-01,0
Landkreis Havelland,Brandenburg,2017-04-01,1
Landkreis Märkisch-Oderland,Brandenburg,2017-04-01,2
Landkreis Oberhavel,Brandenburg,2017-04-01,1
Landkreis Oberspreewald-Lausitz,Brandenburg,2017-04-01,0
Landkreis Oder-Spree,Brandenburg,2017-04-01,3
Landkreis Ostprignitz-Ruppin,Brandenburg,2017-04-01,5
Landkreis Potsdam-Mittelmark,Brandenburg,2017-04-01,13
Landkreis Prignitz,Brandenburg,2017-04-01,0
Landkreis Spree-Neiße,Brandenburg,2017-04-01,2
Landkreis Teltow-Fläming,Brandenburg,2017-04-01,6
Landkreis Uckermark,Brandenburg,2017-04-01,7
Kreisfreie Stadt Bremen,Bremen,2017-04-01,12
Kreisfreie Stadt Bremerhaven,Bremen,2017-04-01,6
Kreisfreie Stadt Hamburg,Hamburg,2017-04-01,392
Kreisfreie Stadt Darmstadt,Hessen,2017-04-01,11
Kreisfreie Stadt Frankfurt am Main,Hessen,2017-04-01,36
Kreisfreie Stadt Kassel,Hessen,2017-04-01,24
Kreisfreie Stadt Offenbach am Main,Hessen,2017-04-01,4
Kreisfreie Stadt Wiesbaden,Hessen,2017-04-01,16
Landkreis Bergstraße,Hessen,2017-04-01,18
Landkreis Darmstadt-Dieburg,Hessen,2017-04-01,8
Landkreis Fulda,Hessen,2017-04-01,19
Landkreis Gießen,Hessen,2017-04-01,7
Landkreis Groß-Gerau,Hessen,2017-04-01,6
Landkreis Hersfeld-Rotenburg,Hessen,2017-04-01,19
Landkreis Hochtaunuskreis,Hessen,2017-04-01,29
Landkreis Kassel,Hessen,2017-04-01,43
Landkreis Lahn-Dill-Kreis,Hessen,2017-04-01,8
Landkreis Limburg-Weilburg,Hessen,2017-04-01,30
Landkreis Main-Kinzig-Kreis,Hessen,2017-04-01,21
Landkreis Main-Taunus-Kreis,Hessen,2017-04-01,19
Landkreis Marburg-Biedenkopf,Hessen,2017-04-01,53
Landkreis Odenwaldkreis,Hessen,2017-04-01,2
Landkreis Offenbach,Hessen,2017-04-01,3
Landkreis Rheingau-Taunus-Kreis,Hessen,2017-04-01,31
Landkreis Schwalm-Eder-Kreis,Hessen,2017-04-01,29
Landkreis Vogelsbergkreis,Hessen,2017-04-01,16
Landkreis Waldeck-Frankenberg,Hessen,2017-04-01,10
Landkreis Werra-Meißner-Kreis,Hessen,2017-04-01,16
Landkreis Wetteraukreis,Hessen,2017-04-01,1
Kreisfreie Stadt Rostock,Mecklenburg-Vorpommern,2017-04-01,16
Kreisfreie Stadt Schwerin,Mecklenburg-Vorpommern,2017-04-01,0
Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern,2017-04-01,12
Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern,2017-04-01,7
Landkreis Nordwestmecklenburg,Mecklenburg-Vorpommern,2017-04-01,2
Landkreis Rostock,Mecklenburg-Vorpommern,2017-04-01,2
Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern,2017-04-01,22
Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern,2017-04-01,10
Kreisfreie Stadt Braunschweig,Niedersachsen,2017-04-01,42
Kreisfreie Stadt Delmenhorst,Niedersachsen,2017-04-01,10
Kreisfreie Stadt Emden,Niedersachsen,2017-04-01,6
Kreisfreie Stadt Oldenburg (Oldb),Niedersachsen,2017-04-01,26
Kreisfreie Stadt Osnabrück,Niedersachsen,2017-04-01,2
Kreisfreie Stadt Salzgitter,Niedersachsen,2017-04-01,6
Kreisfreie Stadt Wilhelmshaven,Niedersachsen,2017-04-01,0
Kreisfreie Stadt Wolfsburg,Niedersachsen,2017-04-01,12
Landkreis Ammerland,Niedersachsen,2017-04-01,16
Landkreis Aurich,Niedersachsen,2017-04-01,12
Landkreis Celle,Niedersachsen,2017-04-01,5
Landkreis Cloppenburg,Niedersachsen,2017-04-01,12
Landkreis Cuxhaven,Niedersachsen,2017-04-01,21
Landkreis Diepholz,Niedersachsen,2017-04-01,6
Landkreis Emsland,Niedersachsen,2017-04-01,29
Landkreis Friesland,Niedersachsen,2017-04-01,10
Landkreis Gifhorn,Niedersachsen,2017-04-01,3
Landkreis Goslar,Niedersachsen,2017-04-01,16
Landkreis Göttingen,Niedersachsen,2017-04-01,48
Landkreis Grafschaft Bentheim,Niedersachsen,2017-04-01,20
Landkreis Hameln-Pyrmont,Niedersachsen,2017-04-01,2
Landkreis Harburg,Niedersachsen,2017-04-01,16
Landkreis Heidekreis,Niedersachsen,2017-04-01,16
Landkreis Helmstedt,Niedersachsen,2017-04-01,0
Landkreis Hildesheim,Niedersachsen,2017-04-01,2
Landkreis Holzminden,Niedersachsen,2017-04-01,2
Landkreis Leer,Niedersachsen,2017-04-01,14
Landkreis Lüchow-Dannenberg,Niedersachsen,2017-04-01,0
Landkreis Lüneburg,Niedersachsen,2017-04-01,9
Landkreis Nienburg (Weser),Niedersachsen,2017-04-01,0
Landkreis Northeim,Niedersachsen,2017-04-01,25
Landkreis Oldenburg,Niedersachsen,2017-04-01,19
Landkreis Osnabrück,Niedersachsen,2017-04-01,35
Landkreis Osterholz,Niedersachsen,2017-04-01,3
Landkreis Peine,Niedersachsen,2017-04-01,1
Landkreis Region Hannover,Niedersachsen,2017-04-01,47
Landkreis Rotenburg (Wümme),Niedersachsen,2017-04-01,24
Landkreis Schaumburg,Niedersachsen,2017-04-01,18
Landkreis Stade,Niedersachsen,2017-04-01,18
Landkreis Uelzen,Niedersachsen,2017-04-01,3
Landkreis Vechta,Niedersachsen,2017-04-01,11
Landkreis Verden,Niedersachsen,2017-04-01,11
Landkreis Wesermarsch,Niedersachsen,2017-04-01,5
Landkreis Wittmund,Niedersachsen,2017-04-01,12
Landkreis Wolfenbüttel,Niedersachsen,2017-04-01,2
Kreis Borken,Nordrhein-Westfalen,2017-04-01,38
Kreis Coesfeld,Nordrhein-Westfalen,2017-04-01,46
Kreis Düren,Nordrhein-Westfalen,2017-04-01,37
Kreis Ennepe-Ruhr-Kreis,Nordrhein-Westfalen,2017-04-01,26
Kreis Euskirchen,Nordrhein-Westfalen,2017-04-01,32
Kreis Gütersloh,Nordrhein-Westfalen,2017-04-01,6
Kreis Heinsberg,Nordrhein-Westfalen,2017-04-01,9
Kreis Herford,Nordrhein-Westfalen,2017-04-01,8
Kreis Hochsauerlandkreis,Nordrhein-Westfalen,2017-04-01,14
Kreis Höxter,Nordrhein-Westfalen,2017-04-01,16
Kreis Kleve,Nordrhein-Westfalen,2017-04-01,21
Kreis Lippe,Nordrhein-Westfalen,2017-04-01,42
Kreis Märkischer Kreis,Nordrhein-Westfalen,2017-04-01,22
Kreis Mettmann,Nordrhein-Westfalen,2017-04-01,28
Kreis Minden-Lübbecke,Nordrhein-Westfalen,2017-04-01,23
Kreis Oberbergischer Kreis,Nordrhein-Westfalen,2017-04-01,36
Kreis Olpe,Nordrhein-Westfalen,2017-04-01,0
Kreis Paderborn,Nordrhein-Westfalen,2017-04-01,14
Kreis Recklinghausen,Nordrhein-Westfalen,2017-04-01,31
Kreis Rhein-Erft-Kreis,Nordrhein-Westfalen,2017-04-01,53
Kreis Rheinisch-Bergischer Kreis,Nordrhein-Westfalen,2017-04-01,27
Kreis Rhein-Kreis Neuss,Nordrhein-Westfalen,2017-04-01,20
Kreis Rhein-Sieg-Kreis,Nordrhein-Westfalen,2017-04-01,79
Kreis Siegen-Wittgenstein,Nordrhein-Westfalen,2017-04-01,28
Kreis Soest,Nordrhein-Westfalen,2017-04-01,10
Kreis Städteregion Aachen,Nordrhein-Westfalen,2017-04-01,113
Kreis Steinfurt,Nordrhein-Westfalen,2017-04-01,64
Kreis Unna,Nordrhein-Westfalen,2017-04-01,30
Kreis Viersen,Nordrhein-Westfalen,2017-04-01,9
Kreis Warendorf,Nordrhein-Westfalen,2017-04-01,35
Kreis Wesel,Nordrhein-Westfalen,2017-04-01,38
Kreisfreie Stadt Bielefeld,Nordrhein-Westfalen,2017-04-01,10
Kreisfreie Stadt Bochum,Nordrhein-Westfalen,2017-04-01,24
Kreisfreie Stadt Bonn,Nordrhein-Westfalen,2017-04-01,8
Kreisfreie Stadt Bottrop,Nordrhein-Westfalen,2017-04-01,24
Kreisfreie Stadt Dortmund,Nordrhein-Westfalen,2017-04-01,111
Kreisfreie Stadt Duisburg,Nordrhein-Westfalen,2017-04-01,21
Kreisfreie Stadt Düsseldorf,Nordrhein-Westfalen,2017-04-01,158
Kreisfreie Stadt Essen,Nordrhein-Westfalen,2017-04-01,69
Kreisfreie Stadt Gelsenkirchen,Nordrhein-Westfalen,2017-04-01,21
Kreisfreie Stadt Hagen,Nordrhein-Westfalen,2017-04-01,6
Kreisfreie Stadt Hamm,Nordrhein-Westfalen,2017-04-01,12
Kreisfreie Stadt Herne,Nordrhein-Westfalen,2017-04-01,4
Kreisfreie Stadt Köln,Nordrhein-Westfalen,2017-04-01,149
Kreisfreie Stadt Krefeld,Nordrhein-Westfalen,2017-04-01,0
Kreisfreie Stadt Leverkusen,Nordrhein-Westfalen,2017-04-01,2
Kreisfreie Stadt Mönchengladbach,Nordrhein-Westfalen,2017-04-01,2
Kreisfreie Stadt Mülheim an der Ruhr,Nordrhein-Westfalen,2017-04-01,33
Kreisfreie Stadt Münster,Nordrhein-Westfalen,2017-04-01,16
Kreisfreie Stadt Oberhausen,Nordrhein-Westfalen,2017-04-01,18
Kreisfreie Stadt Remscheid,Nordrhein-Westfalen,2017-04-01,4
Kreisfreie Stadt Solingen,Nordrhein-Westfalen,2017-04-01,0
Kreisfreie Stadt Wuppertal,Nordrhein-Westfalen,2017-04-01,31
Kreisfreie Stadt Frankenthal (Pfalz),Rheinland-Pfalz,2017-04-01,0
Kreisfreie Stadt Kaiserslautern,Rheinland-Pfalz,2017-04-01,6
Kreisfreie Stadt Koblenz,Rheinland-Pfalz,2017-04-01,2
Kreisfreie Stadt Landau in der Pfalz,Rheinland-Pfalz,2017-04-01,4
Kreisfreie Stadt Ludwigshafen am Rhein,Rheinland-Pfalz,2017-04-01,4
Kreisfreie Stadt Mainz,Rheinland-Pfalz,2017-04-01,3
Kreisfreie Stadt Neustadt an der Weinstraße,Rheinland-Pfalz,2017-04-01,6
Kreisfreie Stadt Pirmasens,Rheinland-Pfalz,2017-04-01,0
Kreisfreie Stadt Speyer,Rheinland-Pfalz,2017-04-01,13
Kreisfreie Stadt Trier,Rheinland-Pfalz,2017-04-01,16
Kreisfreie Stadt Worms,Rheinland-Pfalz,2017-04-01,7
Kreisfreie Stadt Zweibrücken,Rheinland-Pfalz,2017-04-01,0
Landkreis Ahrweiler,Rheinland-Pfalz,2017-04-01,6
Landkreis Altenkirchen (Westerwald),Rheinland-Pfalz,2017-04-01,7
Landkreis Alzey-Worms,Rheinland-Pfalz,2017-04-01,4
Landkreis Bad Dürkheim,Rheinland-Pfalz,2017-04-01,2
Landkreis Bad Kreuznach,Rheinland-Pfalz,2017-04-01,6
Landkreis Bernkastel-Wittlich,Rheinland-Pfalz,2017-04-01,10
Landkreis Birkenfeld,Rheinland-Pfalz,2017-04-01,4
Landkreis Cochem-Zell,Rheinland-Pfalz,2017-04-01,4
Landkreis Donnersbergkreis,Rheinland-Pfalz,2017-04-01,2
Landkreis Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,2017-04-01,16
Landkreis Germersheim,Rheinland-Pfalz,2017-04-01,0
Landkreis Kaiserslautern,Rheinland-Pfalz,2017-04-01,1
Landkreis Kusel,Rheinland-Pfalz,2017-04-01,0
Landkreis Mainz-Bingen,Rheinland-Pfalz,2017-04-01,13
Landkreis Mayen-Koblenz,Rheinland-Pfalz,2017-04-01,12
Landkreis Neuwied,Rheinland-Pfalz,2017-04-01,30
Landkreis Rhein-Hunsrück-Kreis,Rheinland-Pfalz,2017-04-01,14
Landkreis Rhein-Lahn-Kreis,Rheinland-Pfalz,2017-04-01,4
Landkreis Rhein-Pfalz-Kreis,Rheinland-Pfalz,2017-04-01,2
Landkreis Südliche Weinstraße,Rheinland-Pfalz,2017-04-01,0
Landkreis Südwestpfalz,Rheinland-Pfalz,2017-04-01,0
Landkreis Trier-Saarburg,Rheinland-Pfalz,2017-04-01,18
Landkreis Vulkaneifel,Rheinland-Pfalz,2017-04-01,11
Landkreis Westerwaldkreis,Rheinland-Pfalz,2017-04-01,0
Landkreis Merzig-Wadern,Saarland,2017-04-01,0
Landkreis Neunkirchen,Saarland,2017-04-01,10
Landkreis Regionalverband Saarbrücken,Saarland,2017-04-01,4
Landkreis Saarlouis,Saarland,2017-04-01,2
Landkreis Saarpfalz-Kreis,Saarland,2017-04-01,4
Landkreis St. Wendel,Saarland,2017-04-01,0
Kreisfreie Stadt Chemnitz,Sachsen,2017-04-01,31
Kreisfreie Stadt Dresden,Sachsen,2017-04-01,6
Kreisfreie Stadt Leipzig,Sachsen,2017-04-01,92
Landkreis Bautzen,Sachsen,2017-04-01,1
Landkreis Erzgebirgskreis,Sachsen,2017-04-01,14
Landkreis Görlitz,Sachsen,2017-04-01,6
Landkreis Leipzig,Sachsen,2017-04-01,15
Landkreis Meißen,Sachsen,2017-04-01,12
Landkreis Mittelsachsen,Sachsen,2017-04-01,8
Landkreis Nordsachsen,Sachsen,2017-04-01,9
Landkreis Sächsische Schweiz-Osterzgebirge,Sachsen,2017-04-01,2
Landkreis Vogtlandkreis,Sachsen,2017-04-01,15
Landkreis Zwickau,Sachsen,2017-04-01,12
Kreisfreie Stadt Dessau-Roßlau,Sachsen-Anhalt,2017-04-01,2
Kreisfreie Stadt Halle (Saale),Sachsen-Anhalt,2017-04-01,29
Kreisfreie Stadt Magdeburg,Sachsen-Anhalt,2017-04-01,12
Landkreis Altmarkkreis Salzwedel,Sachsen-Anhalt,2017-04-01,0
Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt,2017-04-01,8
Landkreis Börde,Sachsen-Anhalt,2017-04-01,2
Landkreis Burgenlandkreis,Sachsen-Anhalt,2017-04-01,8
Landkreis Harz,Sachsen-Anhalt,2017-04-01,4
Landkreis Jerichower Land,Sachsen-Anhalt,2017-04-01,2
Landkreis Mansfeld-Südharz,Sachsen-Anhalt,2017-04-01,4
Landkreis Saalekreis,Sachsen-Anhalt,2017-04-01,4
Landkreis Salzlandkreis,Sachsen-Anhalt,2017-04-01,9
Landkreis Stendal,Sachsen-Anhalt,2017-04-01,2
Landkreis Wittenberg,Sachsen-Anhalt,2017-04-01,4
Kreis Dithmarschen,Schleswig-Holstein,2017-04-01,28
Kreis Herzogtum Lauenburg,Schleswig-Holstein,2017-04-01,20
Kreis Nordfriesland,Schleswig-Holstein,2017-04-01,83
Kreis Ostholstein,Schleswig-Holstein,2017-04-01,37
Kreis Pinneberg,Schleswig-Holstein,2017-04-01,32
Kreis Plön,Schleswig-Holstein,2017-04-01,4
Kreis Rendsburg-Eckernförde,Schleswig-Holstein,2017-04-01,24
Kreis Schleswig-Flensburg,Schleswig-Holstein,2017-04-01,20
Kreis Segeberg,Schleswig-Holstein,2017-04-01,25
Kreis Steinburg,Schleswig-Holstein,2017-04-01,8
Kreis Stormarn,Schleswig-Holstein,2017-04-01,13
Kreisfreie Stadt Flensburg,Schleswig-Holstein,2017-04-01,3
Kreisfreie Stadt Kiel,Schleswig-Holstein,2017-04-01,32
Kreisfreie Stadt Lübeck,Schleswig-Holstein,2017-04-01,20
Kreisfreie Stadt Neumünster,Schleswig-Holstein,2017-04-01,11
Kreisfreie Stadt Erfurt,Thüringen,2017-04-01,20
Kreisfreie Stadt Gera,Thüringen,2017-04-01,6
Kreisfreie Stadt Jena,Thüringen,2017-04-01,23
Kreisfreie Stadt Suhl,Thüringen,2017-04-01,4
Kreisfreie Stadt Weimar,Thüringen,2017-04-01,1
Landkreis Altenburger Land,Thüringen,2017-04-01,8
Landkreis Eichsfeld,Thüringen,2017-04-01,20
Landkreis Gotha,Thüringen,2017-04-01,0
Landkreis Greiz,Thüringen,2017-04-01,2
Landkreis Hildburghausen,Thüringen,2017-04-01,2
Landkreis Ilm-Kreis,Thüringen,2017-04-01,8
Landkreis Kyffhäuserkreis,Thüringen,2017-04-01,0
Landkreis Nordhausen,Thüringen,2017-04-01,4
Landkreis Saale-Holzland-Kreis,Thüringen,2017-04-01,12
Landkreis Saale-Orla-Kreis,Thüringen,2017-04-01,0
Landkreis Saalfeld-Rudolstadt,Thüringen,2017-04-01,2
Landkreis Schmalkalden-Meiningen,Thüringen,2017-04-01,9
Landkreis Sömmerda,Thüringen,2017-04-01,0
Landkreis Sonneberg,Thüringen,2017-04-01,0
Landkreis Unstrut-Hainich-Kreis,Thüringen,2017-04-01,7
Landkreis Wartburgkreis,Thüringen,2017-04-01,12
Landkreis Weimarer Land,Thüringen,2017-04-01,0
Summe,,2017-04-01,0
Landkreis Alb-Donau-Kreis,Baden-Württemberg,2017-07-01,17
Landkreis Biberach,Baden-Württemberg,2017-07-01,10
Landkreis Böblingen,Baden-Württemberg,2017-07-01,19
Landkreis Bodenseekreis,Baden-Württemberg,2017-07-01,69
Landkreis Breisgau-Hochschwarzwald,Baden-Württemberg,2017-07-01,40
Landkreis Calw,Baden-Württemberg,2017-07-01,4
Landkreis Emmendingen,Baden-Württemberg,2017-07-01,6
Landkreis Enzkreis,Baden-Württemberg,2017-07-01,8
Landkreis Esslingen,Baden-Württemberg,2017-07-01,23
Landkreis Freudenstadt,Baden-Württemberg,2017-07-01,6
Landkreis Göppingen,Baden-Württemberg,2017-07-01,14
Landkreis Heidenheim,Baden-Württemberg,2017-07-01,25
Landkreis Heilbronn,Baden-Württemberg,2017-07-01,25
Landkreis Hohenlohekreis,Baden-Württemberg,2017-07-01,10
Landkreis Karlsruhe,Baden-Württemberg,2017-07-01,146
Landkreis Konstanz,Baden-Württemberg,2017-07-01,15
Landkreis Lörrach,Baden-Württemberg,2017-07-01,54
Landkreis Ludwigsburg,Baden-Württemberg,2017-07-01,53
Landkreis Main-Tauber-Kreis,Baden-Württemberg,2017-07-01,23
Landkreis Neckar-Odenwald-Kreis,Baden-Württemberg,2017-07-01,0
Landkreis Ortenaukreis,Baden-Württemberg,2017-07-01,44
Landkreis Ostalbkreis,Baden-Württemberg,2017-07-01,31
Landkreis Rastatt,Baden-Württemberg,2017-07-01,4
Landkreis Ravensburg,Baden-Württemberg,2017-07-01,22
Landkreis Rems-Murr-Kreis,Baden-Württemberg,2017-07-01,33
Landkreis Reutlingen,Baden-Württemberg,2017-07-01,14
Landkreis Rhein-Neckar-Kreis,Baden-Württemberg,2017-07-01,37
Landkreis Rottweil,Baden-Württemberg,2017-07-01,13
Landkreis Schwäbisch Hall,Baden-Württemberg,2017-07-01,10
Landkreis Schwarzwald-Baar-Kreis,Baden-Württemberg,2017-07-01,33
Landkreis Sigmaringen,Baden-Württemberg,2017-07-01,4
Landkreis Tübingen,Baden-Württemberg,2017-07-01,16
Landkreis Tuttlingen,Baden-Württemberg,2017-07-01,2
Landkreis Waldshut,Baden-Württemberg,2017-07-01,46
Landkreis Zollernalbkreis,Baden-Württemberg,2017-07-01,0
Stadtkreis Baden-Baden,Baden-Württemberg,2017-07-01,6
Stadtkreis Freiburg im Breisgau,Baden-Württemberg,2017-07-01,29
Stadtkreis Heidelberg,Baden-Württemberg,2017-07-01,17
Stadtkreis Heilbronn,Baden-Württemberg,2017-07-01,11
Stadtkreis Karlsruhe,Baden-Württemberg,2017-07-01,2
Stadtkreis Mannheim,Baden-Württemberg,2017-07-01,7
Stadtkreis Pforzheim,Baden-Württemberg,2017-07-01,0
Stadtkreis Stuttgart,Baden-Württemberg,2017-07-01,29
Stadtkreis Ulm,Baden-Württemberg,2017-07-01,84
Kreisfreie Stadt Amberg,Bayern,2017-07-01,0
Kreisfreie Stadt Ansbach,Bayern,2017-07-01,4
Kreisfreie Stadt Aschaffenburg,Bayern,2017-07-01,0
Kreisfreie Stadt Augsburg,Bayern,2017-07-01,30
Kreisfreie Stadt Bamberg,Bayern,2017-07-01,7
Kreisfreie Stadt Bayreuth,Bayern,2017-07-01,4
Kreisfreie Stadt Coburg,Bayern,2017-07-01,2
Kreisfreie Stadt Erlangen,Bayern,2017-07-01,9
Kreisfreie Stadt Fürth,Bayern,2017-07-01,17
Kreisfreie Stadt Hof,Bayern,2017-07-01,2
Kreisfreie Stadt Ingolstadt,Bayern,2017-07-01,40
Kreisfreie Stadt Kaufbeuren,Bayern,2017-07-01,10
Kreisfreie Stadt Kempten (Allgäu),Bayern,2017-07-01,4
Kreisfreie Stadt Landshut,Bayern,2017-07-01,13
Kreisfreie Stadt Memmingen,Bayern,2017-07-01,10
Kreisfreie Stadt München,Bayern,2017-07-01,107
Kreisfreie Stadt Nürnberg,Bayern,2017-07-01,26
Kreisfreie Stadt Passau,Bayern,2017-07-01,23
Kreisfreie Stadt Regensburg,Bayern,2017-07-01,54
Kreisfreie Stadt Rosenheim,Bayern,2017-07-01,0
Kreisfreie Stadt Schwabach,Bayern,2017-07-01,8
Kreisfreie Stadt Schweinfurt,Bayern,2017-07-01,15
Kreisfreie Stadt Straubing,Bayern,2017-07-01,18
